model,class,reversibility,noise,interaction,size,shelf_width,plateau,sigma_crit,passes,failure_mode,cond_reversible,cond_nonintegrable,cond_weakly_perturbed
GL(2,R) Trace,abstract,0.00,0.00,0.50,12,0.0000,0.2838,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.00,0.00,0.50,12,0.0000,0.2955,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,0.00,0.00,0.50,12,0.0000,0.2921,1.20,0,irreversibility_dominated,0,1,1
GL(2,R) Trace,abstract,1.00,0.30,0.50,12,0.1392,0.9219,0.00,0,resolution_limited,1,1,1
GL(2,R) Trace,abstract,1.00,0.30,0.50,12,0.1392,0.9207,0.00,0,resolution_limited,1,1,1
GL(2,R) Trace,abstract,1.00,0.30,0.50,12,0.1392,0.9203,0.00,0,resolution_limited,1,1,1
GL(2,R) Trace,abstract,1.00,0.60,0.50,12,0.0000,0.8108,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,0.60,0.50,12,0.0000,0.8096,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,0.60,0.50,12,0.0000,0.8093,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,1.00,0.50,12,0.0000,0.6004,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,1.00,0.50,12,0.0000,0.5991,0.00,0,irreversibility_dominated,1,1,0
GL(2,R) Trace,abstract,1.00,1.00,0.50,12,0.0000,0.5988,0.00,0,irreversibility_dominated,1,1,0
